"predictor","oddsratio","ci_low (2.5)","ci_high (97.5)","increment"
"PETBPAD",1.298,1.013,1.734,"1"
"MRIBPAD",1.032,0.832,1.284,"1"
"AMY.cat0",0.942,0.209,3.965,"Indicator variable"
"AMY.cat1",5.011,1.197,25.363,"Indicator variable"
"APOE4c1",0.936,0.235,3.612,"Indicator variable"
"PTEDUCAT",0.942,0.761,1.159,"1"
