"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",0.326056903529252,1.67782317637322,0.194333293353389,0.845914918196468
"MRIBPAD",0.0319097886240901,0.108399060499654,0.294373295091354,0.768472670771947
"PETBPAD",0.261069613033832,0.134402958617366,1.94243947990071,0.052083919789432
"AMY.cat0",-0.0595127652548858,0.739566413987083,-0.0804698051849677,0.935863610307554
"AMY.cat1",1.61164814938632,0.766680246224736,2.10211252647026,0.0355434198390175
"APOE4c2",-0.0660070815484868,0.685644289816967,-0.0962701542604655,0.923306014413358
"PTEDUCAT",-0.0597511341351726,0.105649606816621,-0.565559455785618,0.571693295997706
