"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-0.761044085961512,1.18911045579174,-0.640011264096396,0.522165276346765
"PETBPAD",0.172440905613321,0.0838660156585074,2.05614758563802,0.0397682926734341
"MRIBPAD",0.320082166194472,0.0725458714438291,4.41213483033704,1.02356336275411e-05
"AMY.cat0",-0.710479658386298,0.651283233654517,-1.09089198320002,0.275320415097417
"AMY.cat1",0.60260956536147,0.571931453080276,1.053639491439,0.292048001445601
"APOE4c2",1.4656227643264,0.38062181779343,3.85060103181427,0.00011782831045666
"PTEDUCAT",-0.0869802807278423,0.0698211048546977,-1.24575915704648,0.212852828232773
