"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",-0.952927037886948,1.28936599980658,-0.739066361320135,0.459866701932516
"PETBPAD",0.137037159513473,0.0913886546744427,1.49949859751898,0.133744332274074
"MRIBPAD",0.310181241009,0.0816622684456079,3.79834220764514,0.000145667117512636
"AMY.cat1",0.417674426457235,0.55420611271976,0.753644568096701,0.451062675094234
"APOE4c2",1.6631315176879,0.404503185901974,4.11154120820926,3.93026707372563e-05
"PTEDUCAT",-0.0758703204956449,0.0732056840114208,-1.03639931134047,0.300015891521617
