"predictor","oddsratio","ci_low (2.5)","ci_high (97.5)","increment"
"PETBPAD",1.141,0.966,1.352,"1"
"MRIBPAD",1.436,1.241,1.688,"1"
"AMY.cat0",1.382,0.391,5.047,"Indicator variable"
"AMY.cat1",4.083,1.468,12.47,"Indicator variable"
"APOE4c2",2.17,1.015,4.681,"Indicator variable"
"PTEDUCAT",0.97,0.849,1.106,"1"
