"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-2.4425794601545,1.20709534583985,-2.0235182486393,0.0430197440831597
"PET.BAG",0.109755121685824,0.088125664502869,1.24543879816362,0.212970499176849
"MRI.BAG",0.367270655801944,0.0761165320679538,4.82511020699235,1.39925873003132e-06
"ABETA.cat",0.706887920524944,0.25804707619478,2.73937581835405,0.00615559642011744
"APOE4",1.14845100318995,0.371973089335593,3.08745722772923,0.00201876821378427
"PTEDUCAT",-0.0343445478205287,0.0666826691276563,-0.515044587594117,0.606521862961028
