name,sess,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
sub-OAS31072_ses-d4035,ses-d3537,0.6412443791227987,0.5320324546444932,0.5683202111936031,0.5608083032585907,0.5644604265120883,0.5744783616601907,0.5923761691190899,0.5953033290132733,0.5689276841945311,0.6726273066476818,0.5198564513575854,0.6065106012596233,0.6420017853044726,0.674354490778466,0.641981944779103,0.56854814034565,0.66488544443981,0.6344684693116021,0.568337626785102,0.5641028799153974,0.8782799475898271,0.7411195621758128,0.6239041380607319,0.6818651531185077,0.6707720374010674,0.6754928228130814,0.6374550996566165,0.6072349006600719,0.7086154433746442,0.7022385013392489,0.6212241174251484,0.5811740000870208,0.5806438193837847,0.6060461208243624,0.6190170278212235,0.5086048203090693,0.6128463765523412,0.6388963071392523,0.5631132862537477,0.6277886194976721,0.7506450096115334,0.7157042645183296,0.5878579718544027,0.5733005167646908,0.6405754353158138,0.5347058700406793,0.6595352221774803,0.5971635447872282,0.573823758256094,0.6015748927676519,0.6353485534540696,0.7079658889063237,0.6531264314622108,0.6205948856271057,0.7053801509702213,0.6916788245226076,0.5574662778929234,0.6027652604553717,0.5257591169368673,0.5481418263562333,0.5626626394989813,0.615083195226576,0.5754308724773474,0.6164259215702937,0.6990499453011835,0.6340711537221707,0.6204033601815807,0.5813995979407177,0.5789960026806332,0.49777999326590616,0.6715715677355494,0.6782766400087454,0.7052354556280748,0.6409970982467332,0.3430079927048799,0.4611257410382935,0.7238259543929496,0.7645139360815735,0.5177061569440278,0.5588751922431306,0.5812996740902422,0.631090064961852,0.551338048319423,0.575353671838915,0.6388610274935795,0.6345604396629821,0.5247584018304385,0.5258509649436379,0.6247048850374931,0.596442927169976,0.6352678639979107,0.5815928149652035,0.6257963083366265,0.5825468575378754,0.5375279122109704,0.6186617107022538,0.6612811731827458,0.7702213994649063,0.7742947897642126,0.7299217446869027,0.5225760038097417,0.6040365404163687,0.6064192274356609,0.6240818509197187,0.615014257237376,0.5905732297988843,0.495579479726225,0.5244196147980751,0.2621896982456801,0.5516062070060759,0.6612964220683595,0.7305257245932795,0.644995648328757,0.6208489143840306,0.7356255843116437,0.6598756966044809
sub-OAS31083_ses-d1989,ses-d1232,0.5896741393188353,0.61223300515615,0.652308637805337,0.6100182340424042,0.6509720854119978,0.6272146371286303,0.5881056355464435,0.6119679816302074,0.6104968562249866,0.6204021881608696,0.5426802669474858,0.6521718521201518,0.5644568940338837,0.5705102555302678,0.6449312020955171,0.5666767248571207,0.6718766491106,0.6418491350839941,0.5589103311793713,0.6571570993253537,0.7035576449065117,0.7285473541261462,0.7080404876621493,0.7141572007338912,0.576471599787014,0.5489798435908826,0.5289520483916094,0.5271854389980828,0.6966045737605959,0.6998197595348404,0.6155758281502112,0.6289168489741032,0.6574731346925508,0.6452962938434733,0.61790791428674,0.4979668566295623,0.635766726477398,0.6673200589200218,0.5847344192493514,0.6098657931529918,0.7855586786356131,0.7522143398143044,0.4805930032788505,0.48470771675230917,0.4865884436780601,0.4760295168014939,0.5209846193102202,0.5201313036081571,0.503048406157987,0.5029280076112336,0.5478285002627158,0.618780836976571,0.6160461787485046,0.5342888772351367,0.6238645859559263,0.6340333096189047,0.6434301910118656,0.6727742775225658,0.530217427174711,0.5785713770914316,0.6286693755449875,0.6948103493641213,0.5447547534219583,0.5722470562501739,0.5995015600722655,0.6313770108437008,0.5968001337118967,0.5600928949702749,0.5937065428217253,0.6205239713820817,0.7393926646806349,0.8374021177884298,0.8529372334616855,0.8534479396740893,0.4280220033347627,0.6279585857334645,0.5935066427436146,0.6529355123671836,0.5403932160819858,0.4901272677102564,0.5590600792631919,0.5947969151943314,0.6184933412525512,0.6508918208043379,0.5831197355265751,0.5995008163032847,0.5677949639245886,0.5910881584768819,0.551834378681033,0.5636117023892883,0.45227728852912324,0.4731647763288861,0.6198335815850886,0.6687483856724105,0.4390625779814259,0.5123203588401979,0.5681014070291935,0.6075517313862057,0.6335621715787096,0.6312950141474708,0.653503695039285,0.6946086650313741,0.6213033489363122,0.621099967931769,0.4648298479864458,0.5064618814717169,0.6057207470452647,0.5133646400074011,0.13434318727673764,0.3410281571911881,0.5140510745469283,0.6117730548730683,0.5503921894123778,0.4795543613042957,0.48321826174873844,0.4400765444379209
sub-OAS31094_ses-d2106,ses-d2064,0.5545533112261568,0.5310649800322622,0.5201642266093643,0.5285459950977525,0.5500794861959183,0.5464743853578632,0.5743713814738669,0.5950411884103103,0.5486218589187443,0.6129897391750108,0.5983784557553085,0.6518630854505472,0.5093726105326745,0.5438431154986091,0.5791609222979819,0.5683659898068759,0.5854165012521042,0.6368541745466888,0.5563732892766052,0.5169884104838954,0.7262539350647028,0.6902896836511134,0.5264671750813945,0.5095995821857963,0.6053516280818554,0.5371060939980147,0.6139844610545006,0.5916655089659729,0.6279539933931767,0.6592549058803591,0.5805991090903478,0.5749734799595436,0.6153653180879409,0.6053851233578097,0.5364648802568747,0.4343247668179317,0.7493505807871899,0.7664837732148915,0.595352157568461,0.5870060985850475,0.731881360677643,0.7133979871799824,0.5521725475806702,0.5197400050051807,0.5504026188996638,0.5409603462093966,0.5418634382110008,0.5482862847791405,0.5057659943479499,0.4778517182086638,0.506636342414528,0.525619745750326,0.49732083010040806,0.5246033705935514,0.6086740826174293,0.6637718355443856,0.4990497336646157,0.5196305637536598,0.5517140751103142,0.4007894563425599,0.5399691734668987,0.5328224284344217,0.5244271540698039,0.5645850540767342,0.49324730681258955,0.5664506378102363,0.5160144903545598,0.5149702944154199,0.5155953842179849,0.5188132105137241,0.6721922894337038,0.6852248742586471,0.7997499958423222,0.7609334631903613,0.4462616079471555,0.5836370023999231,0.9005925903457328,0.8990381948427097,0.5712444320005153,0.6550396789361779,0.6258462610113483,0.6172838995933162,0.6863518906100853,0.6043594069610708,0.5441143313359622,0.5604270125083682,0.5918912840226618,0.5405058610340597,0.5752450243232178,0.5568606155533403,0.5970384647150963,0.5441649441631191,0.721876057610952,0.6928495861907579,0.5730017982597236,0.7037525076980394,0.6418980021018043,0.6909202103092207,0.6886322211069382,0.6996747635011197,0.6932856751650094,0.7156532102483424,0.6516355502654991,0.7121078852505889,0.5263257737192759,0.6050916607029425,0.46357441774492675,0.5395284813237405,0.29918372551131145,0.6059148367417285,0.5961205173451009,0.697259930882674,0.6012906413542718,0.7022899260964008,0.5912230354051364,0.5262554113230691
sub-OAS31114_ses-d3338,ses-d2658,0.41188204610953244,0.5125222997173973,0.6109489451807791,0.5895985350221978,0.5718404032341345,0.6568115579109752,0.5369127198256805,0.5508990173118388,0.5573066397208295,0.5672374449423274,0.40021947097208826,0.6582807890705085,0.519316215029742,0.6034157802594113,0.5771651842643182,0.6136485284297076,0.5498849575536051,0.5873477165562214,0.5907104380627166,0.5963973553622978,0.7233632507230867,0.6778761282835167,0.6396346972118,0.6140673054566796,0.6487938530035344,0.6041245676184109,0.6081866778182851,0.5904100026340705,0.6765990346702091,0.7249782448698481,0.5359040825376723,0.6271422439282962,0.5117029174555425,0.5312951973937858,0.5529361447256044,0.5494036141485514,0.7542739492106986,0.792267253625516,0.6338302861917842,0.6872978285303205,0.7634047411241056,0.7510499838429016,0.5449975978774232,0.4872815827211075,0.5380656171679373,0.45079325903194545,0.5037612176443742,0.5220635625016468,0.4946272240660569,0.4488269347970449,0.5583652573186666,0.6289795184873697,0.6083100109161487,0.5788055493688875,0.6651893283506221,0.6797782715589245,0.5309482814862913,0.441377344200101,0.5317321383375645,0.49375095400386937,0.5596693005641973,0.5250104560827111,0.6379725956114854,0.5011220026005022,0.5816928391342748,0.6018516826074733,0.5134512757279948,0.5096223177837284,0.5002177959470024,0.5328978627144089,0.6823007712938366,0.6997576303689601,0.6324772363362713,0.5879189364872642,0.32317390405076585,0.4200006290862713,0.8020390040854374,0.8143233732226468,0.5799684460249259,0.5422412234534509,0.6167213224822017,0.5577487995049448,0.6636960022708897,0.6682354502283121,0.5739361101414345,0.619438666975475,0.5701268147162187,0.48539198651947935,0.6004378721824141,0.621698662346231,0.5207243907145157,0.4812667554434723,0.6198385024093225,0.569667286671709,0.5549652447112866,0.5889520016537111,0.6004747749567934,0.7017048470638735,0.6210094444002777,0.6426319918815883,0.6220821381663716,0.634429636055336,0.5919255637576181,0.5923071099051727,0.40245091001477223,0.35772021771286927,0.3871951877026014,0.42366175968742764,0.32769504588800824,0.5355908164515625,0.4878521188396145,0.551129016248143,0.43943812958757156,0.3574506246990749,0.35719582200908007,0.48087042537744995
sub-OAS31118_ses-d2864,ses-d2835,0.6826687781422142,0.6650684218862468,0.6933403273960652,0.6658067611769355,0.5836440542804305,0.7167089859565716,0.6867532084616172,0.6711857174425994,0.6151197943204786,0.661976472914608,0.6120366236925514,0.6448083474385597,0.7015569502720858,0.5887229554533214,0.6190925960054395,0.6825509156050508,0.623531194404044,0.6654650695824941,0.6226806242111668,0.6865812936753869,0.6813115777826044,0.6922931822644318,0.7456002113880552,0.6828467914890335,0.653622504590095,0.5851677976724843,0.6289465033753987,0.5766391893584412,0.7530589776055747,0.7832426011260109,0.6102513938696628,0.6948479544625904,0.711436789656042,0.7349069700029299,0.6749149994404279,0.6050609365474869,0.7620024851798104,0.8086772988061947,0.581304140336343,0.5892705752114962,0.8622926603465413,0.801846415258132,0.6264509309137448,0.6607817483790527,0.6529271322155362,0.6976029901204887,0.6005446978249691,0.6470178736467177,0.5773271081132777,0.6416046711810933,0.5478145380487162,0.648404886819848,0.6066196225881502,0.6538507469565213,0.6885562576907118,0.677709401646578,0.6280218638487838,0.6252648048368791,0.6075953931718318,0.5429197331311023,0.6273895706586665,0.5887418758566736,0.6861416079457111,0.5538258538272034,0.5519815458794717,0.6983227927378989,0.6475528432013608,0.6332899670940372,0.6719880115862887,0.7146170309437904,0.7998832994216974,0.8287103761151354,0.8431895268154781,0.8279407708473803,0.466106470142092,0.6075591766899695,0.8958744961766412,0.9511467776626035,0.49574074865707346,0.6331784814386915,0.6347720143090102,0.6580993253111381,0.7054249482653508,0.7771859255167184,0.6374890514570085,0.66486512800089,0.5504721906857118,0.6733676095582736,0.6583191942867751,0.6416641470692728,0.5573814767685644,0.561917623220538,0.7146870614603578,0.6707619212047722,0.49785947882537124,0.5475621373063715,0.6577217311775081,0.692118216711836,0.6923930542153076,0.721107254542837,0.6793146096563064,0.7362217702039474,0.6457146413086072,0.6839021158953366,0.5252363234655493,0.5598996161825711,0.4284489676389696,0.6162998078896612,0.1358411255964106,0.4592453801468341,0.5136034378386642,0.675133304679337,0.5489494032574012,0.6112572744704692,0.6036636493553398,0.6025107960335956
sub-OAS31153_ses-d1570,ses-d1239,0.5148746564027907,0.5541936783908068,0.49701248119914904,0.4614000196561798,0.46093629394544117,0.4695075789768,0.41741567370079596,0.4970448716794667,0.4198199728518629,0.43185060614703435,0.5445180573059782,0.6480139490730709,0.4643922784943007,0.5551121077352066,0.47619061173624094,0.46070563658610164,0.5774610526875653,0.5748644875619519,0.5099636564622261,0.4640203979062142,0.6526971689541324,0.5703909701899108,0.5689770799252021,0.5426708924886824,0.5117246602943486,0.5104995983960313,0.46644726926290264,0.416820946044065,0.6201896643596179,0.656608540292064,0.514089620154795,0.46942301621711385,0.513852930933207,0.4937295195878514,0.5403830728193346,0.4498442339491888,0.8337116327725884,0.7761722696971449,0.6348684956076928,0.5553268634719871,0.7226852591905474,0.6976287037060113,0.550306683559062,0.5015225761615312,0.541455710784785,0.5059829922321493,0.5400460767409196,0.5265548112440465,0.4439280547213007,0.5030837511240921,0.5292908506025767,0.49059707036100886,0.5119591968361114,0.5770551414247524,0.5846315626734653,0.5778998537305496,0.4848924687981623,0.48854709885055797,0.462272405403558,0.4738195782765524,0.4280798791942793,0.452416659403594,0.5225813531923778,0.45718862774211994,0.5289579675154545,0.4480407170113124,0.5114785676092111,0.5432145716601047,0.4959032718728182,0.5549855075442206,0.5928233034195641,0.638529829844125,0.7239874726617027,0.7200236810940581,0.3684981902907756,0.5271458663964768,0.7809056426739216,0.8372910686871745,0.5541354000809912,0.5382944133667839,0.5186580484417328,0.5525357963381383,0.4513599254911946,0.4567464716872055,0.5413526444336455,0.521102978032354,0.5048397498116239,0.4587537363290411,0.5384510553297638,0.5511834480622951,0.5687139753502021,0.5674057640389011,0.6035236736897208,0.5963133387467622,0.3736609295848599,0.5143737470519822,0.5086441521439361,0.6042317448592592,0.569450017059877,0.5714809675683714,0.5707434546983481,0.5796950789139994,0.5920030018362441,0.541263361903124,0.4087058311810504,0.4086873419240536,0.5943214913286055,0.5520630664509247,0.21950687151881887,0.4496129686932077,0.4626637369130787,0.5334829954824312,0.47078141502327103,0.43810531286693377,0.4168454639099501,0.575227198054696
sub-OAS31165_ses-d0990,ses-d1122,0.594907640189263,0.6554275844707912,0.5531824069252713,0.5588971173852298,0.5605478983328352,0.5360316807465134,0.4886487449145383,0.4692846282335226,0.6206433311742393,0.5587032326308343,0.5607714001453685,0.5000859270640434,0.527636731561736,0.501480601261821,0.5881041589290605,0.5821032118212615,0.6494575421398279,0.6204217074313035,0.5379984410569183,0.584098531331508,0.6574139915843387,0.5135404257815335,0.6393719471778097,0.5768700567623081,0.5753152648018114,0.56828841654794,0.5540833946722222,0.49231114658690983,0.6585220262619047,0.7137609192958507,0.5859687236104417,0.6227148837285105,0.6286125123609588,0.6037610448579783,0.5384298850576947,0.524508261277279,0.7136566425892924,0.758917947473992,0.6012963908889257,0.6319560344210879,0.6958758656508113,0.7281442526906401,0.540642365439389,0.5736345776203282,0.6292768921224691,0.4775061460795958,0.5558639908868072,0.5410491069943228,0.6005129245659631,0.5375748678649924,0.655835291923075,0.6278643875940312,0.5591230121110934,0.6465562257614769,0.7249614154109418,0.7582672184875874,0.5252897817968553,0.5519147018610523,0.47604772926660294,0.47924762785111996,0.5513192826829567,0.5865954160713241,0.6501226020442169,0.5973486129260552,0.6698381087083142,0.6102482497035997,0.5373754954788318,0.5248112049312331,0.6280027514574698,0.6728436637838691,0.7956905273904716,0.7343136035613552,0.6582294657439625,0.6720059796756815,0.35103428061759856,0.5202272279619975,0.8223517871581327,0.7434328897168632,0.5125493067347207,0.5657568686674995,0.5827135134125918,0.6368337356946827,0.5932672395361788,0.6085147425979935,0.625812174509102,0.6737637064357638,0.5826320682645327,0.552554748144845,0.6325652604215461,0.6638002596627665,0.6456022790766188,0.6005269143121403,0.850543473291019,0.7468840107759183,0.4229701638335587,0.7343963070703743,0.6577565086040481,0.831285552511026,0.7950622961691591,0.7753840050975603,0.7620726719528894,0.7617375785453757,0.7246367864035581,0.7525599573596587,0.5817664354900033,0.6232714021833542,0.5311406597054453,0.584145349113305,0.2674913900512642,0.5442127054331529,0.6562828909358012,0.7378451551829436,0.7666198873037556,0.6455892155544736,0.6812721827853747,0.7384505458232924
sub-OAS31168_ses-d2553,ses-d2526,0.5928295398837453,0.5523725655393557,0.636561253178545,0.623500168633185,0.5441814855758962,0.577326652545615,0.551629605562989,0.5921546657254603,0.6122784018498838,0.6827764373224561,0.5538915002052284,0.5680791335756552,0.6151594939729742,0.5717018571016975,0.552369924460766,0.5637644491470252,0.5753591522987778,0.5265425374910405,0.6233452223006893,0.6250899980452491,0.6628334987633802,0.6455638653686158,0.6401058267203126,0.6212152544580369,0.6606729223823745,0.5679883492737403,0.5744357166542741,0.5561582950600601,0.7081209873382946,0.6983277717076846,0.51137842611619,0.5946940434693937,0.6120198530019476,0.5497385716128661,0.7183476828729868,0.62497092419144,0.527816385140759,0.6879754455834083,0.5265009343351131,0.6010253083184437,0.6258886932805994,0.7454547934909191,0.5805265003353896,0.524056057369751,0.5280990276737828,0.5356842852154288,0.5607883707803547,0.5659646396520271,0.45211256161226065,0.5319094996057189,0.512352327764039,0.5819455064851922,0.5305105484279551,0.6199908405682985,0.5614141739152115,0.6815090045718267,0.47670666590321026,0.46108834344765365,0.5119280771731554,0.4304771643045449,0.6057416012317476,0.5507890430508102,0.5531837708227898,0.5358363002340145,0.5611665440799269,0.6704153513157847,0.5555568501765886,0.5443901802584042,0.5863885280988593,0.4588727426723956,0.7804560155253693,0.8040492705456368,0.7756203362854209,0.7544722693664248,0.39222152718179093,0.5700353822112657,0.7610322899405044,0.7644046339926671,0.4556159340802729,0.4697782491936499,0.5482519628911346,0.6443739417259323,0.5475717594378218,0.6432917772158754,0.6491334748739762,0.6601419376325216,0.5166147637886725,0.6129486234616456,0.6296626099590007,0.66562688734653,0.505795400692115,0.4880888625777473,0.6341026596432361,0.6646341455724432,0.419614525964082,0.5333011548629593,0.4736177633917127,0.5371124367394253,0.5070142437532548,0.5403102280627324,0.5418135805664053,0.6417830461560825,0.5678439550196426,0.606062127345164,0.5625383165927995,0.5584029467363372,0.5810528138976238,0.5490196403115988,0.2296221628685206,0.3755388902384682,0.4055140940164835,0.508149702214968,0.5361194346906312,0.4573036659888393,0.47942403775657666,0.4940220282594787
