"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-2.61063122458988,2.10027029790048,-1.2429977356722,0.213868667871284
"PET.BAG",0.332108821125586,0.128012959218664,2.59433750420765,0.00947734016433993
"MRI.BAG",-0.00529703196583675,0.131388321875736,-0.0403158506799909,0.96784131703741
"ABETA.cat",-0.257905779910468,0.36647959138777,-0.703738450847537,0.481595670092957
"APOE4",2.56954164912087,1.05727908894744,2.43033431378931,0.0150849013590952
"PTEDUCAT",-0.0218724951462219,0.114697793362911,-0.190696738837999,0.848763193836866
