,col,high,low
Temporal_Pole_Sup_R,Temporal_Pole_Sup_R,1.4345933599598197,0.45899613385072446
Temporal_Mid_L,Temporal_Mid_L,1.7566003032844841,0.6815457467643171
Temporal_Mid_R,Temporal_Mid_R,1.8283852256330682,0.6624317788885812
Temporal_Pole_Mid_L,Temporal_Pole_Mid_L,1.5133933147786907,0.26459971703166907
Temporal_Pole_Mid_R,Temporal_Pole_Mid_R,1.5086484387844954,0.3724456448136606
Temporal_Inf_L,Temporal_Inf_L,1.6141060349843572,0.6536295420245484
Temporal_Inf_R,Temporal_Inf_R,1.6993688059536238,0.526695322413365
Cerebelum_Crus1_L,Cerebelum_Crus1_L,1.700577873404236,0.5551022217378412
Cerebelum_Crus1_R,Cerebelum_Crus1_R,1.6406836481636258,0.5706738107085036
Cerebelum_Crus2_L,Cerebelum_Crus2_L,1.7790712540084455,0.37065298715792694
Cerebelum_Crus2_R,Cerebelum_Crus2_R,1.730813354684206,0.27884322588773114
Cerebelum_3_L,Cerebelum_3_L,1.4125333963571813,0.5084450537703769
Cerebelum_3_R,Cerebelum_3_R,1.4529656324948703,0.4830625828925985
Cerebelum_4_5_L,Cerebelum_4_5_L,1.530830911984932,0.6901424665925342
Cerebelum_4_5_R,Cerebelum_4_5_R,1.5570728367668507,0.6830680377730627
Cerebelum_6_L,Cerebelum_6_L,1.6776085885319438,0.7936354536400156
Cerebelum_6_R,Cerebelum_6_R,1.73934560907581,0.7466975199816186
Cerebelum_7b_L,Cerebelum_7b_L,1.7272367545914356,0.5701874687260298
Cerebelum_7b_R,Cerebelum_7b_R,1.7903829838664493,0.33100632277023423
Cerebelum_8_L,Cerebelum_8_L,1.6498738548617375,0.709064774457016
Cerebelum_8_R,Cerebelum_8_R,1.641998982919404,0.6342246973723278
Cerebelum_9_L,Cerebelum_9_L,1.6801945042374233,0.7067453556268002
Cerebelum_9_R,Cerebelum_9_R,1.6660113965522716,0.7470668667195097
Cerebelum_10_L,Cerebelum_10_L,1.7393473324706503,-0.00022439345151237244
Cerebelum_10_R,Cerebelum_10_R,1.5907090138291378,0.15901529107227685
Vermis_1_2,Vermis_1_2,1.4295329470777731,0.5075999571556391
Vermis_3,Vermis_3,1.6118317599387977,0.5177201270653782
Vermis_4_5,Vermis_4_5,1.6450033956571959,0.5798701958189145
Vermis_6,Vermis_6,1.673496232250272,0.5556136533497347
Vermis_7,Vermis_7,1.7549734577218938,0.4782771966445889
Vermis_8,Vermis_8,1.9750735975130895,0.6530640035502222
Vermis_9,Vermis_9,1.9532986269022885,0.8004578032899692
Vermis_10,Vermis_10,1.9274406906731203,0.16927209597688475
