,col,high,low
17Networks_LH_LimbicA_TempPole_3,17Networks_LH_LimbicA_TempPole_3,1.33165822025,0.345390345
17Networks_LH_LimbicA_TempPole_4,17Networks_LH_LimbicA_TempPole_4,1.4782036902500004,0.36572145399999956
17Networks_LH_ContA_Temp_1,17Networks_LH_ContA_Temp_1,1.7287373127499994,0.3642970870000004
17Networks_LH_ContA_IPS_1,17Networks_LH_ContA_IPS_1,1.9679813394999992,0.40721503625000066
17Networks_LH_ContA_IPS_2,17Networks_LH_ContA_IPS_2,1.8990910502500005,0.5064322459999997
17Networks_LH_ContA_IPS_3,17Networks_LH_ContA_IPS_3,1.9528454642500004,0.6001349162499996
17Networks_LH_ContA_PFCd_1,17Networks_LH_ContA_PFCd_1,2.0624660752500006,0.3954053792499994
17Networks_LH_ContA_PFClv_1,17Networks_LH_ContA_PFClv_1,2.00023977175,0.5349187449999999
17Networks_LH_ContA_PFCl_1,17Networks_LH_ContA_PFCl_1,2.0765964859999997,0.6116257427500005
17Networks_LH_ContA_PFCl_2,17Networks_LH_ContA_PFCl_2,1.9435699095000007,0.6292239797499992
17Networks_LH_ContA_PFCl_3,17Networks_LH_ContA_PFCl_3,2.053109427249999,0.6353008917500009
17Networks_LH_ContA_Cingm_1,17Networks_LH_ContA_Cingm_1,1.6766245589999997,0.11977443900000018
17Networks_LH_ContB_Temp_1,17Networks_LH_ContB_Temp_1,1.836207516,0.33269304375
17Networks_LH_ContB_IPL_1,17Networks_LH_ContB_IPL_1,1.6582262744999998,0.06325626150000008
17Networks_LH_ContB_PFCl_1,17Networks_LH_ContB_PFCl_1,1.8149867525000003,0.08141320799999963
17Networks_LH_ContB_PFClv_1,17Networks_LH_ContB_PFClv_1,1.9267105425,-0.016758194499999934
17Networks_LH_ContB_PFClv_2,17Networks_LH_ContB_PFClv_2,2.0533032837500005,0.31703931724999945
17Networks_LH_ContC_pCun_1,17Networks_LH_ContC_pCun_1,2.2713877599999996,0.6186569565000002
17Networks_LH_ContC_pCun_2,17Networks_LH_ContC_pCun_2,2.1814589079999998,0.35292742350000017
17Networks_LH_ContC_Cingp_1,17Networks_LH_ContC_Cingp_1,2.3120268915000004,-0.0764745262500004
17Networks_LH_DefaultA_IPL_1,17Networks_LH_DefaultA_IPL_1,1.7116913507499993,0.3235994812500005
17Networks_LH_DefaultA_PFCd_1,17Networks_LH_DefaultA_PFCd_1,2.06834722425,0.5496387759999997
17Networks_LH_DefaultA_pCunPCC_1,17Networks_LH_DefaultA_pCunPCC_1,2.4690758960000005,0.7010652792499998
17Networks_LH_DefaultA_pCunPCC_2,17Networks_LH_DefaultA_pCunPCC_2,2.33642914775,0.6504104444999996
